id,ime,ocena,dolzina,vzponi
1441,Slinavka,5a/a+,14,137 (96 plezalcev)
1442,Parkljevka,5b,14,150 (105 plezalcev)
1443,Brbonèica,6a+/b,14,134 (90 plezalcev)
1444,Harry Potter,6a+,16,139 (100 plezalcev)
1445,Bradavièarka,6a+,17,128 (87 plezalcev)
1446,Mojèina,5a+,17,163 (104 plezalcev)
1447,Ksenjina,5a,17,151 (100 plezalcev)
1448,Naritko Mitko,5a+/b,17,195 (119 plezalcev)
1449,Lukova,6c,17,170 (90 plezalcev)
1450,Jožetova,6a/a+,20,339 (155 plezalcev)
1451,Dragotova,6b,20,217 (107 plezalcev)
1452,Sorinina,6c,20,66 (32 plezalcev)
1453,Pepel,6b+,15,49 (32 plezalcev)
1454,Varianta pepela,6b,15,80 (54 plezalcev)
1455,Jumbo,7a/a+,17,140 (61 plezalcev)
1457,Meteorit,7c,19,18 (6 plezalcev)
1458,Poontang,7b+,16,14 (6 plezalcev)
1456,Sternschnuppe,7b,15,14 (10 plezalcev)
1459,Mièkena,6c+,12,178 (71 plezalcev)
1460,Frenkova,7a,23,98 (32 plezalcev)
1461,Johanova,7c,20,55 (16 plezalcev)
1462,Nido,7b,15,106 (43 plezalcev)
1463,Kinder garten,7a+,18,146 (51 plezalcev)
5864,Kinder garten direkt,7b,18,31 (17 plezalcev)
1464,Matamoros,7c,18,30 (14 plezalcev)
1465,Tekila,8a,19,43 (13 plezalcev)
1466,Durango,7b+,19,66 (33 plezalcev)
31558,Ninja želva,8c,19,
1467,Tortuga a,7b,13,119 (45 plezalcev)
1468,Tortuga b,7c,13,26 (8 plezalcev)
1469,Corto,8a,18,150 (26 plezalcev)
15401,White power,8a/a+,18,8
1470,Lazuret,8b,20,33
1471,Mr. Bighand,8b+,28,
1472,Gospodar prstanov,7c+,15,90 (17 plezalcev)
1473,Manana,7c/c+,12,35 (17 plezalcev)
1474,Hobit,7c,17,74 (30 plezalcev)
1475,Talk is cheap!,8c,15,2
30308,Vicious circle,9a+/b,16,
1476,Za staro kolo in majhnega psa,8c+,13,1
1477,Sanjski par,8c,10,
30309,Sanjski par extension,9a,16,
1478,Peskovnik,7b/b+,9,12
1479,Sistolitièni vrt,7b+,4,
1480,Pièkin dim,6b+,14,120 (51 plezalcev)
1481,Tazio,6c,14,129 (50 plezalcev)
1482,Kurèji rock,6c+,14,141 (48 plezalcev)
1483,Ribalton,7a+,18,101 (37 plezalcev)
1484,Èao bejbe,7c+/8a,20,23 (6 plezalcev)
1485,Iglu,8a,20,75 (16 plezalcev)
1486,Flash dance,7c,20,55 (16 plezalcev)
17323,Angie wall,7c,24,37 (7 plezalcev)
1487,Rock'n roll,7c+,22,163 (27 plezalcev)
1488,Galaktika,8a/a+,25,43
27134,The very long engagement,8a+/b,10,
1489,Strta srca,8a+,9,13
1490,Twin peaks,7c/c+,7,25 (8 plezalcev)
1491,Stinger,7c,24,33 (11 plezalcev)
1492,No fly zone,8b,24,1
1493,Skodelica kave,7b,23,52 (21 plezalcev)
1494,Nina,7b,21,106 (33 plezalcev)
1495,Danger zone,7a,19,283 (63 plezalcev)
1496,Nikita,7b+,19,48 (24 plezalcev)
1497,Minulet,7b+,19,191 (41 plezalcev)
17472,Ponarejeni Minulet,6c+,19,22 (10 plezalcev)
1498,Ponarejena želva,7a+/b,20,91 (28 plezalcev)
1499,Oro puro,7c,20,56 (21 plezalcev)
1500,Teta Liza,7a,19,64 (30 plezalcev)
1501,Moving shadow,7b+,16,7
1502,9A - 1 del,6c,19,172 (53 plezalcev)
1503,9A - 2 del,7c,30,17 (8 plezalcev)
1504,Uncle Ben,7b,19,26 (9 plezalcev)
22152,Ljubezen na prvi pogled (1.del),7a+,19,10
20502,Ljubezen na prvi pogled,7c+,30,10
1505,Eagles,8b,19,11
1506,Caffe expresso,8a+,30,40
10431,Dolga kava,7c,30,66 (13 plezalcev)
1507,Noèna kronika,8b,30,3
1508,Noèna kronika - 1 del,7c+,23,71 (14 plezalcev)
1509,Urbanova,8a,30,38 (7 plezalcev)
1510,Uživancija,8a,30,40 (10 plezalcev)
30307,Delni mrk,8a+,30,
1511,Veseli tobogan,8a/a+,10,5
1512,Popolni mrk,8c,30,
1513,Sreèa vrtnice,8b,32,22 (8 plezalcev)
1514,Sreèa vrtnice - 1 del,7a+,21,413 (68 plezalcev)
5433,Gorenjski šnops,8b,32,4
5434,Gorenjski šnops - 1 del,7a,16,50 (24 plezalcev)
1515,Albanski konjak,8a,31,78 (15 plezalcev)
1516,Albanski konjak - 1 del,6c+,18,339 (62 plezalcev)
1517,Rodeo,7a,18,462 (74 plezalcev)
5435,Corrida,8c,31,1
5436,Histerija,8c+,32,1
1518,Ptièja perspektiva,8a+,32,54 (11 plezalcev)
1519,Ptièja perspektiva - 1 del,7b,20,282 (53 plezalcev)
17322,Ptièja Vizija,7c/c+,33,10
1520,Krvave dimlje,7b+/c,19,14
1521,Pikova dama,8b,32,57 (6 plezalcev)
5437,Vizija,8c,30,7
1522,Karizma,8b+,32,14
1523,Triad,8a,23,14
1524,Èlovek ne jezi se,8c,16,
7941,Ekstaza,8c+/9a,40,
7939,Èlovek ne jezi se (do vrha),8c+,41,
1525,Sanje za dušo,8b+,40,1
12413,Xaxid hostel,9a/a+,42,
1526,J.S.F.K.,7c+,16,84 (19 plezalcev)
7940,J.S.F.K. (do vrha),8b,41,
1527,Figa,7b/b+,16,66 (28 plezalcev)
1528,Figaro,8a+,40,2
1529,"Blood, sugar, sex, magic",8a/a+,18,40 (6 plezalcev)
1530,Bula,7b+,18,91 (26 plezalcev)
1532,Giljotina,8a,18,84 (17 plezalcev)
1533,Bastilla,8a+,27,5
1531,Bastilla do vrha,8b+,40,
1534,Highlander,8a+,19,22
1535,Izgubljeni sin,8a+,40,41 (9 plezalcev)
1536,Samsara,8a,19,173 (30 plezalcev)
1537,Mrtvaški ples,8b,19,66 (6 plezalcev)
1538,Marioneta,8b/b+,19,100
1539,"Lahko noè, Irena",8a+/b,25,53
1540,Mozaik,7c+/8a,25,63 (11 plezalcev)
1541,Milennium,8b+,40,1
1542,Hugo,7c+,25,188 (25 plezalcev)
1543,Popaj,8a+,32,54 (9 plezalcev)
1544,Lucky luke,8b,32,2
1545,Chiquita,8b/b+,32,3
1546,Chiquita - 1 del,8a,25,159 (20 plezalcev)
1547,Preobrazba,7c+,23,90 (22 plezalcev)
1549,Klobasa - Preobrazba,7c,23,17 (6 plezalcev)
1548,Klobasa,8a+,23,2
1550,Kaj ti je deklica?,8b+,32,32
1551,Oktoberfest,8a,29,49 (17 plezalcev)
1552,Pasja radost,7b+,18,55 (15 plezalcev)
22113,Šunka,7c+,33,14
1553,Krvavica,7a+,29,149 (35 plezalcev)
1554,Krvavica - 1 del,7a,18,210 (47 plezalcev)
1555,Godla,7c+,35,41 (10 plezalcev)
6960,Godla - 1. del,7b,25,83 (13 plezalcev)
1556,Kamnolom,6a,15,180 (74 plezalcev)
1557,Tretje tisoèletje,8a,29,65 (11 plezalcev)
1558,Tretje tisoèletje - 1 del,6a+/b,16,248 (74 plezalcev)
1559,Peèenica,6b+,25,512 (88 plezalcev)
1560,Peèenica - 1 del,6b+,17,218 (70 plezalcev)
1561,Pleskavica,7a,17,43 (15 plezalcev)
17308,Lisièji raz,7b,26,12
1562,Hugolina,7b+,24,125 (31 plezalcev)
1563,Pinot,7c,24,87 (23 plezalcev)
1564,Deževna sodba,7c,24,15 (7 plezalcev)
1565,Hrenovka,6b/b+,23,450 (93 plezalcev)
1566,Euro,7a+,4,15 (7 plezalcev)
1567,Èevapèiè,6c,22,214 (64 plezalcev)
1569,Sneguljèica,5c+,7,65 (44 plezalcev)
5438,Bedarija,7a+,13,10 (6 plezalcev)
1570,7 palèkov,6c,7,65 (35 plezalcev)
1568,Timo,6c,15,19 (13 plezalcev)
1571,Truplojedka,8a+,7,8
1572,Matrix,8b,9,9
1573,Missing drink,8b+,13,6
1574,Missing link,8b+,13,56
17326,Natural link,8c,13,
1575,Konec mira,8c/c+,16,2
1576,Marjetica,8b/b+,14,39
1577,Pingvin,8a+,16,10
1578,Pingvin a,7c+,16,33 (8 plezalcev)
1579,Sonce v oèeh,8a+,16,103 (20 plezalcev)
1580,Martin Krpan,9a,22,1
1581,Strelovod,8c,18,4
1582,Runo,7b+,16,76 (25 plezalcev)
1583,Reksi,7b,16,152 (39 plezalcev)
8983,Lesi,7b,16,10 (6 plezalcev)
1584,VR6,7c,16,55 (16 plezalcev)
1585,Zajèek,8a+,16,19
1586,Platfus,7a+,15,65 (31 plezalcev)
5439,JSKŽ,7a+,18,14 (8 plezalcev)
6561,Afrodita,6a+,17,10 (7 plezalcev)
6562,Afrodiziak,6c+/7a,15,10
1587,Švejk,7a,15,22 (16 plezalcev)
1588,Krjavelj,6a+/b,15,34 (26 plezalcev)
6563,Mišja luknja,5b/b+,14,18 (18 plezalcev)
6564,Podgana,6a+,15,16 (14 plezalcev)
1589,Prehod za pešce,4a/a+,15,24 (18 plezalcev)
6565,Prijateljica noèi,7a,12,14 (7 plezalcev)
6566,Sovražnica,7b+,15,26 (6 plezalcev)
6567,Èrna luknja,6c+,16,14 (8 plezalcev)
6568,Sexy zajeda,6c+,15,11
1590,Za star moped in hudga psa,7a+,16,15 (9 plezalcev)
6569,Dežela šalc,5a+/b,15,29 (22 plezalcev)
7145,Igra,7b,16,7
7146,Grom,6a/a+,9,11 (10 plezalcev)
7147,Strela,5b/b+,9,14 (13 plezalcev)
1591,Milky way,6b/b+,9,7 (6 plezalcev)
1592,Bounty,6c/c+,9,8
1593,Rest day,7b+,9,5
1594,Snickers,6c,9,6
7148,Mars,6b+,14,4
7149,Milka,6a/a+,14,3
7150,Gorenjka,6c,13,5
7151,Raffaelo,6b,13,5
7152,Twix,5b,14,15 (15 plezalcev)
